DistrictName,DistrictNo,Npop,longitude,latitude,HDI,green_area,neigh_name_compare,,,
Higienópolis,49,15734,-43.28484357,-22.91430373,0.78,0,HIGIENOPOLIS,,,
Jacaré,50,9276,-43.33890402,-22.93210797,0.81,0.004616096,JACARE,,,
Maria da Graça,51,7972,-43.20157482,-22.91012656,0.802,0,MARIA DA GRACA,,,
Del Castilho,52,15610,-43.21343275,-22.91088043,0.747,0,DEL CASTILHO,,,
Inhaúma,53,45698,-43.2476154,-22.91544652,0.759,0.039304845,INHAUMA,,,
Engenho da Rainha,54,26659,-43.22888521,-22.91323577,0.751,0.115705046,ENGENHO DA RAINHA,,,
Tomás Coelho,55,22676,-43.1733184,-22.91911462,0.742,0.265459495,TOMAS COELHO,,,
São Francisco Xavier,56,8343,-43.20888257,-22.92869743,0.959,0.150669644,SAO FRANCISCO XAVIER,,,
Rocha,57,8766,-43.19959446,-22.93261541,0.761,0.242696081,ROCHA,,,
Riachuelo,58,12653,-43.2043909,-22.91682673,0.744,0.209372074,RIACHUELO,,,
Sampaio,59,10895,-43.19729014,-22.9195493,0.744,0.173435929,SAMPAIO,,,
Engenho Novo,60,42172,-43.27008944,-22.92932217,0.744,0.171832365,ENGENHO NOVO,,,
Lins de Vasconcelos,61,37487,-43.35377679,-22.92961743,0.732,0.371070183,LINS DE VASCONCELOS,,,
Méier,62,49828,-43.25352515,-22.92898037,0.731,0.006089396,MEIER,,,
Todos ds Santos,63,24646,-43.18023038,-22.92665888,0.7,0,TODOS OS SANTOS,,,
Cachambi,64,42415,-43.1742239,-22.93472357,0.722,0.00216393,CACHAMBI,,,
Engenho de Dentro,65,45540,-43.1885346,-22.93536054,0.72,0.20471702,ENGENHO DE DENTRO,,,
Água Santa,66,8756,-43.58936654,-22.99216534,0.833,0.763052118,AGUA SANTA,,,
Encantado,67,15021,-43.49185249,-22.97179077,0.94,0.009099419,ENCANTADO,,,
Piedade,68,43378,-43.26065679,-22.96064135,0.794,0.219933154,PIEDADE,,,
Abolição,69,11356,-43.38725082,-22.95229864,0.894,0,ABOLICAO,,,
Pilares,70,27250,-43.18614368,-22.95225711,0.957,0.041914171,PILARES,,,
Jacarezinho,154,37839,-43.70641029,-22.91648235,0.859,0.002850988,JACAREZINHO,,,
Vila Kosmos,71,18274,-43.16195228,-22.95050522,0.901,0.319105688,VILA KOSMOS,,,
Vicente de Carvalho,72,24964,-43.3629417,-22.9481107,0.878,0.163098708,VICENTE DE CARVALHO,,,
Vila da Penha,73,25465,-43.69357355,-22.96809858,0.792,0,VILA DA PENHA,,,
Vista Alegre,74,8622,-43.33826665,-22.95705674,0.952,0,VISTA ALEGRE,,,
Irajá,75,96382,-43.38084061,-22.94424851,0.959,0.039182165,IRAJA,,,
Colégio,76,29245,-43.43041983,-22.97152771,0.952,0.006268689,COLEGIO,,,
Campinho,77,10156,-43.20106287,-22.95496035,0.955,0.122995583,CAMPINHO,,,
Quintino Bocaiúva,78,31185,-43.35104473,-22.95872498,0.956,0.418740227,QUINTINO BOCAIUVA,,,
Cavalcanti,79,16141,-43.45859191,-22.98249134,0.962,0.31790621,CAVALCANTI,,,
Engenheiro Leal,80,6113,-43.18745668,-22.97056558,0.967,0.173740892,ENGENHEIRO LEAL,,,
Cascadura,81,34456,-43.16703099,-22.96205198,0.959,0.185474334,CASCADURA,,,
Madureira,82,50106,-43.20927966,-22.97109787,0.957,0.106021046,MADUREIRA,,,
Vaz Lobo,83,15167,-43.31012071,-22.98589744,0.97,0.076111999,VAZ LOBO,,,
Turiaçu,84,17246,-43.23886975,-22.97983195,0.792,0.123160268,TURIACU,,,
Rocha Miranda,85,44188,-43.37315676,-22.99858859,0.873,0,ROCHA MIRANDA,,,
Honório Gurgel,86,21989,-43.22538337,-22.98381153,0.873,0,HONORIO GURGEL,,,
Oswaldo Cruz,87,34040,-43.20316391,-22.98411815,0.867,0.00420419,OSVALDO CRUZ,,,
Bento Ribeiro,88,43707,-43.26853738,-22.9918194,0.926,0,BENTO RIBEIRO,,,
Marechal Hermes,89,48061,-43.63777144,-22.99817869,0.926,0.000226267,MARECHAL HERMES,,,
Guadalupe,105,47144,-43.18045435,-22.80412997,0.839,0.055952546,GUADALUPE,,,
Anchieta,106,55652,-43.32339597,-22.81026961,0.894,0.01409425,ANCHIETA,,,
Parque Anchieta,107,26212,-43.19304224,-22.80568506,0.882,0.640092478,PARQUE ANCHIETA,,,
Ricardo de Albuquerque,108,29310,-43.36014686,-22.81269957,0.839,0.063215208,RICARDO DE ALBUQUERQUE,,,
Coelho Neto,109,32423,-43.20209932,-22.81288133,0.86,0.000312711,COELHO NETO,,,
Acari,110,27347,-43.30089592,-22.81570735,0.86,0.135738477,ACARI,,,
Barros Filho,111,14049,-43.34202636,-22.8142254,0.81,0.040721232,BARROS FILHO,,,
Costa Barros,112,28442,-43.17980605,-22.81048731,0.835,0.080594705,COSTA BARROS,,,
Pavuna,113,97350,-43.28585574,-22.83128566,0.802,0.014716898,PAVUNA,,,
Parque Columbia,157,9202,-43.31677494,-22.87075008,0.861,0.034668836,PARQUE COLUMBIA,,,
Jacarepaguá,114,157326,-43.48512991,-22.85751099,0.8,0.727285445,JACAREPAGUA,,,
Anil,115,24172,-43.18401658,-22.82199282,0.839,0.201689419,ANIL,,,
Gardênia Azul,116,17715,-43.32601335,-22.83509822,0.905,0.026792165,GARDENIA AZUL,,,
Curicica,118,31189,-43.34104304,-22.82217348,0.839,0.130159711,CURICICA,,,
Freguesia (Jacarepaguá),119,70511,-43.3700363,-22.82500098,0.858,0.464539627,FREGUESIA,,,
Pechincha,120,34709,-43.29733078,-22.8311547,0.859,0.109360496,PECHINCHA,,,
Taquara,121,102126,-43.27604514,-22.83794141,0.931,0.234679234,TAQUARA,,,
Tanque,122,37856,-43.17605632,-22.82112835,0.922,0.415821265,TANQUE,,,
Praça Seca,123,64147,-43.17034673,-22.82519328,0.9,0.294255895,PRACA SECA,,,
Vila Valqueire,124,32279,-43.3504798,-22.83212299,0.857,0.28611717,VILA VALQUEIRE,,,
Cidade de Deus,117,36515,-43.3997895,-22.82391639,0.802,0.020989977,CIDADE DE DEUS,,,
Joá,125,818,-43.37545197,-22.83887482,0.877,0.391813747,JOA,,,
Itanhangá,126,38415,-43.41528735,-22.83626778,0.877,0.629090109,ITANHANGA,,,
Barra da Tijuca,127,135924,-43.36420876,-22.83497376,0.85,0.193005375,BARRA DA TIJUCA,,,
Camorim,128,1970,-43.31504097,-22.83016604,0.849,0.779155854,CAMORIM,,,
Vargem Pequena,129,27250,-43.39710523,-22.83739635,0.857,0.646549079,VARGEM PEQUENA,,,
Vargem Grande,130,14039,-43.3361534,-22.83937297,0.831,0.841134345,VARGEM GRANDE,,,
Recreio dos Bandeirantes,131,82240,-43.35662197,-22.84713758,0.876,0.42641793,RECREIO DOS BANDEIRANTES,,,
Grumari,132,167,-43.26998268,-22.84759935,0.773,0.690459474,GRUMARI,,,
Deodoro,133,10842,-43.31015188,-22.84341441,0.909,0.433126189,DEODORO,,,
